Galaxy1_Wavelength,Galaxy1_Flux,Galaxy1_Interpolated_Wavelength,Galaxy1_Interpolated_Flux,Galaxy2_Wavelength,Galaxy2_Flux,Galaxy2_Interpolated_Wavelength,Galaxy2_Interpolated_Flux,Galaxy3_Wavelength,Galaxy3_Flux,Galaxy3_Interpolated_Wavelength,Galaxy3_Interpolated_Flux,Galaxy4_Wavelength,Galaxy4_Flux,Galaxy4_Interpolated_Wavelength,Galaxy4_Interpolated_Flux,Galaxy5_Wavelength,Galaxy5_Flux,Galaxy5_Interpolated_Wavelength,Galaxy5_Interpolated_Flux,Galaxy6_Wavelength,Galaxy6_Flux,Galaxy6_Interpolated_Wavelength,Galaxy6_Interpolated_Flux,Galaxy7_Wavelength,Galaxy7_Flux,Galaxy7_Interpolated_Wavelength,Galaxy7_Interpolated_Flux,Galaxy8_Wavelength,Galaxy8_Flux,Galaxy8_Interpolated_Wavelength,Galaxy8_Interpolated_Flux,Galaxy9_Wavelength,Galaxy9_Flux,Galaxy9_Interpolated_Wavelength,Galaxy9_Interpolated_Flux,Galaxy10_Wavelength,Galaxy10_Flux,Galaxy10_Interpolated_Wavelength,Galaxy10_Interpolated_Flux
2.452553,1.3937764,0.4201703172792987,3.726313005088529,2.452553,-0.3734854,0.4201703172792987,-1.348054500353735,2.452553,-2.1888235,0.4201703172792987,-3.0770211784624264,2.452553,0.42715096,0.4201703172792987,4.363245013866878,2.452553,-1.0098741,0.4201703172792987,0.06767248339677462,2.452553,3.251761,0.4201703172792987,1.7549809954290592,2.452553,-0.08490593,0.4201703172792987,-1.217640337694492,2.452553,3.1808882,0.4201703172792987,0.29728072836347263,2.452553,-0.63848716,0.4201703172792987,-0.3882736902912511,2.452553,4.46427,0.4201703172792987,3.4457157160854806
2.3918169,1.5503647,0.9007798998447825,3.7958153988887524,2.3918169,-0.21868601,0.9007798998447825,-0.873747002407398,2.3918169,-2.0096812,0.9007798998447825,-2.306322804292376,2.3918169,0.68637437,0.9007798998447825,4.58566934175906,2.3918169,-0.84270865,0.9007798998447825,0.8744255986863679,2.3918169,3.384109,0.9007798998447825,2.3433746637333925,2.3918169,0.049598243,0.9007798998447825,-0.7847869632556124,2.3918169,3.3746552,0.9007798998447825,1.4988638680490627,2.3918169,-0.49292907,0.9007798998447825,0.17803029562024328,2.3918169,4.563859,0.9007798998447825,3.195832220109777
2.3312247,1.6958817,1.3656666981474332,3.147594551077235,2.3312247,-0.07545132,1.3656666981474332,-0.5327677699871487,2.3312247,-1.8387793,1.3656666981474332,-1.706707893159274,2.3312247,0.92409724,1.3656666981474332,3.972535613987491,2.3312247,-0.66920596,1.3656666981474332,1.3006421545319808,2.3312247,3.499992,1.3656666981474332,2.90447760328885,2.3312247,0.16750674,1.3656666981474332,-0.5290321619322961,2.3312247,3.5601242,1.3656666981474332,2.9186157794267227,2.3312247,-0.35986075,1.3656666981474332,-0.15986090836647765,2.3312247,4.643478,1.3656666981474332,3.103927040628228
2.2898118,1.7907547,1.4748111675725013,2.9128015217231726,2.2898118,0.018374633,1.4748111675725013,-0.059629503926337625,2.2898118,-1.7250327,1.4748111675725013,-1.4311412514002966,2.2898118,1.0495864,1.4748111675725013,3.7335991586456747,2.2898118,-0.54972214,1.4748111675725013,1.1899034684002954,2.2898118,3.571936,1.4748111675725013,3.1358303918849644,2.2898118,0.2405796,1.4748111675725013,-0.30866152755190707,2.2898118,3.6834662,1.4748111675725013,3.706509590728926,2.2898118,-0.27360588,1.4748111675725013,-0.09483024418489903,2.2898118,4.69016,1.4748111675725013,3.420890173318985
2.2484636,1.8817867,1.7246886407891013,2.5433664204536495,2.2484636,0.10609085,1.7246886407891013,0.5609760682271596,2.2484636,-1.6163621,1.7246886407891013,-0.9524248784719924,2.2484636,1.2438711,1.7246886407891013,3.074477950816219,2.2484636,-0.4278411,1.7246886407891013,0.8978048036471171,2.2484636,3.634911,1.7246886407891013,3.5899095220329036,2.2484636,0.304582,1.7246886407891013,0.20522455081918134,2.2484636,3.801505,1.7246886407891013,4.50268223290042,2.2484636,-0.19370332,1.7246886407891013,0.2139040214697185,2.2484636,4.7260385,1.7246886407891013,4.174077589077272
2.2070956,1.9664382,1.918508666805214,2.4031990354261676,2.2070956,0.18933526,1.918508666805214,0.5788690026036675,2.2070956,-1.5118904,1.918508666805214,-0.986875815765425,2.2070956,1.3625398,1.918508666805214,2.459100091538827,2.2070956,-0.3056277,1.918508666805214,0.5352862581308271,2.2070956,3.6904218,1.918508666805214,3.792626627540863,2.2070956,0.360732,1.918508666805214,0.44942183015515974,2.2070956,3.914911,1.918508666805214,4.487266772959609,2.2070956,-0.11861519,1.918508666805214,0.2216049749853343,2.2070956,4.7537117,1.918508666805214,4.609950151059879
2.1655412,2.048159,2.064636702483452,2.2160827728442873,2.1655412,0.2662336,2.064636702483452,0.4234998179964111,2.1655412,-1.4131665,2.064636702483452,-1.2031299024461106,2.1655412,1.5590177,2.064636702483452,1.9192987317020316,2.1655412,-0.18232724,2.064636702483452,0.11649796491757587,2.1655412,3.7360165,2.064636702483452,3.7996236206787906,2.1655412,0.4065422,2.064636702483452,0.46837225869299876,2.1655412,4.022282,2.064636702483452,4.2520595191891575,2.1655412,-0.049813386,2.064636702483452,0.08811021570930622,2.1655412,4.7693357,2.064636702483452,4.752198144739772
2.1241782,2.119127,nan,nan,2.1241782,0.3348619,nan,nan,2.1241782,-1.3221198,nan,nan,2.1241782,1.6772207,nan,nan,2.1241782,-0.059250377,nan,nan,2.1241782,3.7690566,nan,nan,2.1241782,0.4393294,nan,nan,2.1241782,4.1218486,nan,nan,2.1241782,0.010711177,nan,nan,2.1241782,4.7700477,nan,nan
2.0827854,2.190154,nan,nan,2.0827854,0.39860582,nan,nan,2.0827854,-1.2368984,nan,nan,2.0827854,1.8726453,nan,nan,2.0827854,0.06330358,nan,nan,2.0827854,3.7933955,nan,nan,2.0827854,0.46287358,nan,nan,2.0827854,4.215095,nan,nan,2.0827854,0.0665918,nan,nan,2.0827854,4.7613845,nan,nan
2.0413928,2.249291,nan,nan,2.0413928,0.4553828,nan,nan,2.0413928,-1.1598809,nan,nan,2.0413928,1.9790502,nan,nan,2.0413928,0.18462665,nan,nan,2.0413928,3.8076003,nan,nan,2.0413928,0.4754147,nan,nan,2.0413928,4.2994018,nan,nan,2.0413928,0.11566992,nan,nan,2.0413928,4.7404327,nan,nan
