0.051,0.076333,0.11833,0.21667,0.26367,0.30267,0.326,0.41367,0.53667,0.72333,1.1853,1.5003,1.915,2.6393,7.8647,33.55,53.659,82.847,116.05,166.93
2.3398e-09,5.1321e-09,5.8626e-07,7.087e-07,1.2002e-06,1.44e-06,1.5525e-06,3.0139e-06,4.9498e-06,7.2665e-06,1.2821e-05,2.3138e-05,5.9454e-05,0.00022959,0.51693,8.2011,7.0323,4.0749,1.8713,0.70095
1.513e-07,3.6655e-07,1.7502e-05,2.2548e-05,4.0141e-05,5.0969e-05,5.6875e-05,0.00011491,0.0002151,0.00042789,0.0025378,0.0063017,0.015947,0.052644,1.2029,4.1109,3.0762,1.9643,1.2148,0.74496
5.6333e-09,1.3572e-08,1.1125e-06,2.0248e-06,2.8992e-06,3.9453e-06,4.6204e-06,1.1267e-05,2.9121e-05,8.8219e-05,0.00061819,0.0012246,0.0017469,0.0023456,0.43791,4.963,10.931,11.447,7.8038,3.9295
1.6728e-06,4.4179e-06,3.1175e-05,9.9602e-05,0.00019466,0.00030655,0.0003795,0.00065472,0.0012662,0.002688,0.011628,0.01954,0.032734,0.086872,0.75772,4.6011,12.793,12.228,7.1863,3.0364
7.2937e-06,1.5979e-05,0.0018391,0.0022503,0.0039185,0.0047672,0.0051763,0.010317,0.017523,0.026858,0.04439,0.053115,0.053493,0.041655,0.91721,7.265,20.012,37.346,42.024,33.627
2.9104e-08,6.2693e-08,7.6167e-06,1.012e-05,1.8372e-05,2.3505e-05,2.6351e-05,5.7024e-05,0.00010483,0.0001748,0.0004895,0.0011185,0.0032445,0.012687,0.20241,1.083,1.926,1.8458,1.2462,0.64122
4.7847e-06,1.5163e-05,0.0011224,0.0012042,0.0014164,0.0015219,0.0015698,0.0025675,0.0033958,0.003753,0.0036526,0.0036509,0.0034048,0.0029816,0.14039,3.7935,11.124,11.793,7.7287,3.6442
1.8859e-07,4.5083e-07,3.0868e-05,4.4079e-05,8.3713e-05,0.00011365,0.0001315,0.00027119,0.00052803,0.0011325,0.0080597,0.017649,0.033555,0.085587,2.8153,22.218,45.998,47.665,33.057,17.032
6.4067e-06,1.4165e-05,0.0015525,0.0019194,0.0032711,0.0039777,0.0043281,0.0085199,0.014217,0.021185,0.03817,0.058497,0.13558,0.54302,4.6296,17.449,34.64,38.634,29.912,17.914
