micron   Jy    Jy   quality

      14.2666  0.000131860 1.31728e-005       0
      14.8168  0.000101324 1.01223e-005       0
      14.9085  0.000120760 1.20639e-005       0
      15.0002  0.000129312 1.29183e-005       0
      15.0919  0.000100434 1.00334e-005       0
      15.1835  0.000127494 1.27367e-005       0
      15.2752  0.000120458 1.20338e-005       0
      15.3669 7.91820e-005 7.91029e-006       0
      15.8254  0.000119316 1.19197e-005       0
      15.9171  0.000200370 2.00170e-005       0
      16.0088  0.000276964 2.76687e-005       0
      16.1005  0.000358102 3.57744e-005       0
      16.1922  0.000440936 4.40495e-005       0
      16.2839  0.000469770 4.69301e-005       0
      16.3755  0.000460386 4.59926e-005       0
      16.4672  0.000455404 4.54949e-005       0
      16.5589  0.000400170 3.99770e-005       0
      16.6506  0.000333480 3.33147e-005       0
      16.7423  0.000227380 2.27153e-005       0
      16.8340  0.000181528 1.81347e-005       0
      16.9257  0.000132000 1.31868e-005       0
      17.0174 9.65100e-005 9.64136e-006       0
      17.1091 9.44700e-005 9.43756e-006       0
      17.2008  0.000108552 1.08444e-005       0
      17.2925  0.000181696 1.81514e-005       0
      17.3842  0.000189256 1.89067e-005       0
      17.4759  0.000139200 1.39061e-005       0
      17.5676  0.000166386 1.66220e-005       0
      17.6592  0.000232340 2.32108e-005       0
      17.7509  0.000202078 2.01876e-005       0
      17.8426  0.000214276 2.14062e-005       0
      17.9343  0.000294232 2.93938e-005       0
      18.0260  0.000264262 2.63998e-005       0
      18.1177  0.000242524 2.42282e-005       0
      18.2094  0.000236420 2.36184e-005       0
      18.3011  0.000154466 1.54312e-005       0
      18.3928  0.000147254 1.47107e-005       0
      18.4845  0.000153270 1.53117e-005       0
      18.6679  0.000127134 1.27007e-005       0
      18.7596  0.000194794 1.94599e-005       0
      18.8513  0.000189598 1.89409e-005       0
      18.9430  0.000200132 1.99932e-005       0
      19.0346  0.000284188 2.83904e-005       0
      19.1263  0.000297260 2.96963e-005       0
      19.2180  0.000270892 2.70621e-005       0
      19.3097  0.000345526 3.45181e-005       0
      19.4014  0.000439994 4.39554e-005       0
      19.4931  0.000532040 5.31508e-005       0
      19.5848  0.000613170 6.12557e-005       0
      19.6765  0.000839656 8.38817e-005       0
