micron   Jy    Jy   quality
     0.378000 7.26485e-008 7.25759e-009       0
     0.433000 1.13456e-007 1.13343e-008       0
     0.594000 1.99538e-007 1.99339e-008       0
     0.771000 3.33600e-007 3.33267e-008       0
     0.886000 4.60496e-007 4.60036e-008       0
      1.25500 1.26132e-006 1.26006e-007       0
      2.16300 3.08196e-006 3.07888e-007       0
      3.56200 5.87796e-006 5.87209e-007       0
      4.51200 7.68468e-006 7.67700e-007       0
      5.68600 7.81316e-006 7.80535e-007       0
      7.93600 5.50587e-006 5.50037e-007       0
      24.0000  0.000277010 2.76733e-005       0
      90.0000   0.00348499  0.000348151       0
      160.000   0.00751764  0.000751013       0
      250.000    0.0115831   0.00115715       0
      350.000    0.0145616   0.00145471       0
