micron   Jy    Jy   quality

      14.3583 9.43300e-005 9.42358e-006       0
      16.0088  0.000125632 1.25506e-005       0
      16.1005  0.000134910 1.34775e-005       0
      16.3755  0.000104296 1.04192e-005       0
      16.6506  0.000166178 1.66012e-005       0
      16.7423  0.000163668 1.63504e-005       0
      16.8340  0.000165510 1.65345e-005       0
      16.9257  0.000170668 1.70497e-005       0
      17.0174  0.000148510 1.48362e-005       0
      17.1091  0.000113246 1.13133e-005       0
      17.2008  0.000112650 1.12537e-005       0
      17.8426  0.000111392 1.11281e-005       0
      17.9343  0.000186888 1.86701e-005       0
      18.0260  0.000248182 2.47934e-005       0
      18.1177  0.000275390 2.75115e-005       0
      18.2094  0.000231366 2.31135e-005       0
      18.3011  0.000310966 3.10655e-005       0
      18.3928  0.000366642 3.66276e-005       0
      18.4845  0.000366592 3.66226e-005       0
      18.5762  0.000380338 3.79958e-005       0
      18.6679  0.000397952 3.97554e-005       0
      18.7596  0.000317956 3.17638e-005       0
      18.8513  0.000229918 2.29688e-005       0
      18.9430  0.000193874 1.93680e-005       0
      19.0346  0.000175844 1.75668e-005       0
      19.1263  0.000205154 2.04949e-005       0
      19.2180  0.000182362 1.82180e-005       0
      19.3097  0.000204380 2.04176e-005       0
      19.4014  0.000158588 1.58430e-005       0
      20.3183  0.000197332 1.97135e-005       0
      20.4100  0.000188578 1.88390e-005       0
      20.5201  0.000216196 2.15980e-005       0
      20.6966  0.000208262 2.08054e-005       0
      20.8732  0.000171864 1.71692e-005       0
      21.0500  0.000151646 1.51495e-005       0
      21.2268  0.000158234 1.58076e-005       0
      21.4038  0.000137328 1.37191e-005       0
      21.5808  0.000146140 1.45994e-005       0
      21.7579  0.000231316 2.31085e-005       0
      21.9352  0.000299042 2.98743e-005       0
      22.1125  0.000440556 4.40116e-005       0
      22.2900  0.000532722 5.32190e-005       0
      22.4675  0.000603626 6.03023e-005       0
      22.6452  0.000627638 6.27011e-005       0
      22.8230  0.000682594 6.81912e-005       0
      23.0009  0.000665414 6.64749e-005       0
      23.1788  0.000659590 6.58931e-005       0
      23.3569  0.000653938 6.53285e-005       0
      23.5351  0.000658526 6.57868e-005       0
      23.7134  0.000604998 6.04394e-005       0
      23.8918  0.000505350 5.04845e-005       0
      24.0703  0.000438574 4.38136e-005       0
      24.2489  0.000376956 3.76579e-005       0
      24.4276  0.000324088 3.23764e-005       0
      24.6064  0.000298040 2.97742e-005       0
      24.7853  0.000288612 2.88324e-005       0
      24.9643  0.000275720 2.75445e-005       0
      25.1435  0.000287374 2.87087e-005       0
      25.3227  0.000241368 2.41127e-005       0
      25.5021  0.000250996 2.50745e-005       0
      25.6815  0.000242506 2.42264e-005       0
      25.8611  0.000214758 2.14543e-005       0
      26.0407  0.000159424 1.59265e-005       0
      26.2205  0.000199952 1.99752e-005       0
      26.4004  0.000184958 1.84773e-005       0
      26.5804  0.000186192 1.86006e-005       0
      26.7605  0.000188236 1.88048e-005       0
      26.9407  0.000218138 2.17920e-005       0
      27.1210  0.000133164 1.33031e-005       0
      27.3014  0.000113780 1.13666e-005       0
      27.4820  0.000104818 1.04713e-005       0
      30.7504  0.000118084 1.17966e-005       0
      31.2986  0.000129576 1.29447e-005       0
      31.4816  0.000180424 1.80244e-005       0
      31.6647  0.000185062 1.84877e-005       0
      31.8479  0.000210768 2.10557e-005       0
      33.5019  0.000299994 2.99694e-005       0
      33.6862  0.000395138 3.94743e-005       0
      33.8707  0.000524892 5.24368e-005       0
      34.0553  0.000586748 5.86162e-005       0
      34.2400  0.000573554 5.72981e-005       0
      34.4248  0.000461230 4.60769e-005       0
      34.6097  0.000508902 5.08394e-005       0
      34.7948  0.000306930 3.06623e-005       0
      34.9799  0.000520330 5.19810e-005       0
