micron   Jy    Jy   quality
     0.433000 7.98779e-007 7.97981e-008       0
     0.594000 1.14822e-006 1.14707e-007       0
     0.771000 1.63993e-006 1.63829e-007       0
     0.886000 2.19193e-006 2.18974e-007       0
      1.25500 4.85765e-006 4.85280e-007       0
      1.65600 6.49870e-006 6.49221e-007       0
      2.16300 9.68337e-006 9.67370e-007       0
      3.56200 1.69522e-005 1.69353e-006       0
      4.51200 2.05507e-005 2.05302e-006       0
      5.68600 2.20205e-005 2.19985e-006       0
      7.93600 1.12623e-005 1.12510e-006       0
      24.0000  0.000426890 4.26464e-005       0
      70.0000   0.00159602  0.000159443       0
      90.0000   0.00421643  0.000421222       0
      160.000    0.0107555   0.00107448       0
      250.000    0.0135976   0.00135840       0
      350.000   0.00861400  0.000860539       0
