micron   Jy    Jy   quality
     0.378000 1.29666e-008 1.29536e-009       0
     0.433000 2.15192e-008 2.14977e-009       0
     0.594000 4.06281e-008 4.05875e-009       0
     0.771000 2.22652e-007 2.22430e-008       0
     0.886000 4.33337e-007 4.32904e-008       0
      1.25500 1.82317e-006 1.82135e-007       0
      1.65600 4.33737e-006 4.33304e-007       0
      2.16300 6.32742e-006 6.32110e-007       0
      3.56200 2.60391e-005 2.60131e-006       0
      4.51200 3.48358e-005 3.48010e-006       0
      5.68600 2.88421e-005 2.88133e-006       0
      7.93600 1.99171e-005 1.98972e-006       0
      24.0000  0.000343250 3.42907e-005       0
      70.0000   0.00158545  0.000158387       0
      90.0000   0.00604598  0.000603994       0
      160.000    0.0166534   0.00166368       0
      250.000    0.0305195   0.00304890       0
      350.000    0.0255974   0.00255718       0

