micron   Jy    Jy   quality
      14.1687  0.000184664 1.84480e-005       0
      14.2597  0.000105878 1.05772e-005       0
      14.9883 9.44035e-005 9.43092e-006       0
      15.0793  0.000118185 1.18067e-005       0
      15.1704  0.000112057 1.11945e-005       0
      15.2614  0.000131610 1.31479e-005       0
      15.3525  0.000120634 1.20513e-005       0
      15.4436  0.000106687 1.06580e-005       0
      15.5346  0.000126786 1.26659e-005       0
      15.6257  0.000137527 1.37390e-005       0
      16.1721  0.000118533 1.18415e-005       0
      16.2631  0.000171594 1.71423e-005       0
      16.3542  0.000142106 1.41964e-005       0
      16.4453  0.000154778 1.54623e-005       0
      16.5363  0.000132619 1.32487e-005       0
      16.6274  0.000179918 1.79738e-005       0
      16.7185  0.000190541 1.90351e-005       0
      16.8095  0.000212471 2.12259e-005       0
      16.9006  0.000263340 2.63077e-005       0
      16.9916  0.000265743 2.65478e-005       0
      17.0827  0.000286373 2.86087e-005       0
      17.1738  0.000266150 2.65884e-005       0
      17.2648  0.000311285 3.10974e-005       0
      17.3559  0.000301731 3.01430e-005       0
      17.4470  0.000296050 2.95754e-005       0
      17.5380  0.000238811 2.38572e-005       0
      17.6291  0.000204985 2.04780e-005       0
      17.7202  0.000128830 1.28701e-005       0
      18.6308  0.000157992 1.57834e-005       0
      18.7219  0.000203511 2.03308e-005       0
      18.8129  0.000217805 2.17587e-005       0
      18.9040  0.000155575 1.55420e-005       0
      19.0861  0.000187083 1.86896e-005       0
      19.3593  0.000246463 2.46217e-005       0
      19.4504  0.000224614 2.24390e-005       0
      19.5414  0.000217534 2.17317e-005       0
      19.6325  0.000287854 2.87566e-005       0
      19.7236  0.000300894 3.00593e-005       0
      19.8146  0.000219417 2.19198e-005       0
      20.0878  0.000219984 2.19764e-005       0
      20.1789  0.000233731 2.33498e-005       0
      20.2699  0.000345848 3.45502e-005       0
      20.3792  0.000485264 4.84779e-005       0
      20.5545  0.000485187 4.84702e-005       0
      20.7300  0.000464261 4.63797e-005       0
      20.9055  0.000479716 4.79237e-005       0
      21.0811  0.000457710 4.57253e-005       0
      21.2568  0.000406290 4.05884e-005       0
      21.4327  0.000408356 4.07948e-005       0
      21.6086  0.000427050 4.26623e-005       0
      21.7846  0.000375310 3.74935e-005       0
      21.9608  0.000407923 4.07515e-005       0
      22.1370  0.000441397 4.40956e-005       0
      22.3133  0.000449058 4.48609e-005       0
      22.4898  0.000412753 4.12341e-005       0
      22.6663  0.000414471 4.14057e-005       0
      22.8430  0.000415524 4.15109e-005       0
      23.0197  0.000390833 3.90443e-005       0
      23.1966  0.000383001 3.82618e-005       0
      23.3736  0.000380448 3.80068e-005       0
      23.5506  0.000399332 3.98933e-005       0
      23.7278  0.000360409 3.60049e-005       0
      23.9051  0.000332140 3.31808e-005       0
      24.0824  0.000312772 3.12460e-005       0
      24.2599  0.000269692 2.69423e-005       0
      24.4375  0.000274455 2.74181e-005       0
      24.6152  0.000232694 2.32462e-005       0
      24.7930  0.000185921 1.85735e-005       0
      24.9709  0.000213322 2.13109e-005       0
      25.1489  0.000175433 1.75258e-005       0
      25.3270  0.000141568 1.41427e-005       0
      25.5052  0.000101171 1.01070e-005       0
      25.6836  0.000165196 1.65031e-005       0
      25.8620  0.000103064 1.02961e-005       0
      26.0405  0.000148730 1.48581e-005       0
      26.2192  0.000204139 2.03935e-005       0
      26.3979  0.000225398 2.25173e-005       0
      26.5768  0.000209693 2.09484e-005       0
      26.7558  0.000238668 2.38430e-005       0
      26.9349  0.000216420 2.16204e-005       0
      27.1140  0.000141039 1.40898e-005       0
      27.2933  0.000120539 1.20419e-005       0
      27.4727 9.25285e-005 9.24361e-006       0
      28.1914  0.000108927 1.08818e-005       0
      28.3714  0.000121741 1.21619e-005       0
      28.5514  0.000160983 1.60822e-005       0
      28.7316  0.000205384 2.05179e-005       0
      28.9119  0.000207977 2.07769e-005       0
      29.0922  0.000168382 1.68214e-005       0
      29.2727  0.000186336 1.86150e-005       0
      29.4534  0.000151541 1.51390e-005       0
      29.6341  0.000159208 1.59049e-005       0
      29.8149  0.000192098 1.91906e-005       0
      29.9958  0.000285366 2.85081e-005       0
      30.1769  0.000327858 3.27530e-005       0
      30.3580  0.000434936 4.34501e-005       0
      30.5393  0.000571677 5.71106e-005       0
      30.7207  0.000620408 6.19788e-005       0
      30.9022  0.000601264 6.00663e-005       0
      31.0838  0.000593454 5.92861e-005       0
      31.2655  0.000532023 5.31492e-005       0
      31.4473  0.000441886 4.41445e-005       0
      31.6293  0.000411546 4.11135e-005       0
      31.8113  0.000413701 4.13288e-005       0
      31.9935  0.000449674 4.49225e-005       0
      32.1758  0.000483284 4.82801e-005       0
      32.3582  0.000513274 5.12761e-005       0
      32.5407  0.000541652 5.41111e-005       0
      32.7233  0.000571635 5.71064e-005       0
      32.9061  0.000467546 4.67079e-005       0
      33.0889  0.000323361 3.23038e-005       0
      33.2719  0.000256330 2.56074e-005       0
      33.6382  0.000299480 2.99181e-005       0
      33.8215  0.000338248 3.37910e-005       0
      34.0050  0.000458167 4.57709e-005       0
      34.1885  0.000542052 5.41510e-005       0
      34.3722  0.000575705 5.75130e-005       0
      34.5559  0.000770306 7.69536e-005       0
      34.7398  0.000435401 4.34966e-005       0
